Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,H1,Shot Left OpenPlay Miss,0,0,80,42,-,-
Home,H1,Shot Right OpenPlay Miss,0,0,95,64,-,-
Home,H1,Shot Right OpenPlay Miss,0,0,78,39,-,-
Home,H1,Shot Left ThrowIn Miss,0,0,78,67,-,-
Home,H1,Shot Right OpenPlay Miss,0,0,86,25,-,-
Home,H1,Shot Right OpenPlay Miss,0,0,72,38,-,-
Home,H1,Shot Right OpenPlay Goal,0,0,85,65,-,-
Home,H1,Shot Right OpenPlay Goal,0,0,88,71,-,-
Home,H1,Shot Right OpenPlay Goal,0,0,90,60,-,-
Home,H1,Shot Right OpenPlay Goal,0,0,96,44,-,-
