Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,A1,Shot Left OpenPlay Miss,32,21,90,65,-,-
Away,A1,Shot Head ThrowIn Miss,33,39,91,60,-,-
Away,A1,Shot Head OpenPlay Miss,33,39,97,60,-,-
Away,A1,Shot Left OpenPlay Miss,33,39,90,35,-,-
Away,A1,Shot Head Corner Miss,33,39,91,44,-,-
Away,A1,Shot Right OpenPlay Miss,33,39,82,33,-,-
Away,A1,Shot Left OpenPlay Miss,33,39,78,58,-,-
Away,A1,Shot Right OpenPlay Miss,33,39,91,42,-,-
Away,A1,Shot Right Corner Miss,33,39,85,61,-,-
Away,A1,Shot Right Freekick Goal,33,53,76,55,-,-
Away,A1,Shot Left Freekick Miss,33,49,81,70,-,-
Away,A1,Shot Right OpenPlay Miss,34,27,64,61,-,-
Away,A1,Shot Right OpenPlay Miss,35,4,87,27,-,-
Away,A1,Shot Right OpenPlay Miss,36,2,81,58,-,-
Away,A1,Shot Right OpenPlay Goal,37,19,93,47,-,-
Away,A1,Shot Right OpenPlay Miss,38,4,78,61,-,-
Away,A1,Shot Right Penalty Goal,38,37,90,50,-,-
Away,A1,Shot Right OpenPlay Miss,38,37,79,67,-,-
Away,A1,Shot Right OpenPlay Goal,38,37,90,55,-,-
Away,A1,Shot Right OpenPlay Miss,38,37,75,41,-,-
