Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,A1,Shot Left OpenPlay Miss,71,53,87,81,-,-
Away,A1,Shot Right OpenPlay Goal,73,15,90,64,-,-
Away,A1,Shot Right Corner Miss,73,58,83,29,-,-
Away,A1,Shot Left OpenPlay Miss,75,16,72,54,-,-
Away,A1,Shot Right OpenPlay Miss,78,4,93,66,-,-
Away,A1,Shot Head OpenPlay Miss,79,3,96,44,-,-
Away,A1,Shot Right OpenPlay Goal,81,8,95,47,-,-
Away,A1,Shot Right OpenPlay Miss,84,36,89,63,-,-
Away,A1,Shot Right OpenPlay Miss,87,56,81,57,-,-
Away,A1,Shot Right OpenPlay Miss,88,58,75,64,-,-
Away,A1,Shot Right OpenPlay Miss,92,7,89,46,-,-
Away,A1,Shot Left OpenPlay Miss,93,44,74,42,-,-
Away,A1,Shot Right OpenPlay Miss,96,7,80,54,-,-
