Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Landon Johnson,Shot Left Freekick Miss,3,19,73,33,-,-
Home,Enrique Gudino De Grote,Shot Right OpenPlay Goal,17,36,80,52,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,19,32,84,27,-,-
Home,Gavin Johnson,Shot Head Corner Miss,21,13,96,57,-,-
Home,Gavin Johnson,Shot Right OpenPlay Goal,24,10,73,34,-,-
Home,Gavin Johnson,Shot Right Freekick Miss,25,41,72,42,-,-
Home,Jamie R. Beamish,Shot Right OpenPlay Miss,27,36,83,30,-,-
Home,Jacob Sullivan Golda,Shot Left Corner Miss,28,11,83,42,-,-
Home,Enrique Gudino De Grote,Shot Right Penalty Goal,28,35,89,50,-,-
Home,Gavin Johnson,Shot Right Freekick Miss,31,14,73,33,-,-
Home,Tapiwa F. Machingauta,Shot Right Freekick Miss,32,36,68,47,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,33,20,50,46,-,-
Home,Jamie R. Beamish,Shot Right ThrowIn Miss,38,16,91,67,-,-
Home,Gavin Johnson,Shot Left OpenPlay Goal,40,12,95,49,-,-
