Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,H1,Shot Right OpenPlay Goal,34,16,87,42,-,-
Home,H1,Shot Right OpenPlay Miss,34,16,89,64,-,-
Home,H1,Shot Left OpenPlay Goal,34,16,96,38,-,-
Home,H1,Shot Right OpenPlay Miss,34,16,93,65,-,-
Home,H1,Shot Left OpenPlay Miss,34,16,87,34,-,-
Home,H1,Shot Head OpenPlay Miss,34,16,96,36,-,-
Home,H1,Shot Left OpenPlay Miss,34,16,81,49,-,-
Home,H1,Shot Right OpenPlay Miss,34,16,73,51,-,-
Home,H1,Shot Right OpenPlay Miss,34,16,77,50,-,-
Home,H1,Shot Left OpenPlay Goal,34,16,87,36,-,-
Home,H1,Shot Left OpenPlay Miss,34,16,85,54,-,-
Home,H1,Shot Left OpenPlay Miss,34,16,85,64,-,-
Home,H1,Shot Right OpenPlay Goal,34,16,90,61,-,-
Home,H1,Shot Right Freekick Miss,34,25,78,67,-,-
Home,H1,Shot Left OpenPlay Miss,35,26,88,30,-,-
Home,H1,Shot Left OpenPlay Miss,36,10,78,63,-,-
Home,H1,Shot Left OpenPlay Miss,36,30,82,50,-,-
