Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,Gavin Johnson,Shot Left OpenPlay Miss,1,21,97,39,-,-
Away,Gavin Johnson,Shot Right Freekick Miss,1,41,74,27,-,-
Away,Enrique Gudino De Grote,Shot Head Corner Miss,1,41,93,45,-,-
Away,MacKenzie Bechard,Shot Right OpenPlay Miss,1,41,84,70,-,-
Away,Gavin Johnson,Shot Head Corner Miss,1,41,95,51,-,-
Away,Gavin Johnson,Shot Head OpenPlay Miss,1,41,93,44,-,-
Away,Ian M. Murray,Shot Right OpenPlay Miss,1,54,93,57,-,-
Away,Enrique Gudino De Grote,Shot Right OpenPlay Miss,3,39,93,53,-,-
Away,Gavin Johnson,Shot Left OpenPlay Miss,4,56,94,65,-,-
Away,Enrique Gudino De Grote,Shot Left ThrowIn Miss,5,42,84,58,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,5,42,81,33,-,-
Away,Gavin Johnson,Shot Right OpenPlay Goal,5,42,84,61,-,-
Away,Moritz Seban,Shot Head OpenPlay Miss,5,42,93,45,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,5,42,90,60,-,-
Away,Gavin Johnson,Shot RIght Freekick Goal,5,42,80,40,-,-
Away,Enrique Gudino De Grote,Shot Head OpenPlay Goal,5,42,97,56,-,-
Away,Ian M. Murray,Shot Right OpenPlay Miss,5,42,93,65,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,5,42,86,57,-,-
Away,Gavin Johnson,Shot Right Corner Goal,5,42,97,52,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,5,42,92,65,-,-
Away,Ian M. Murray,Shot Head Corner Miss,5,42,95,60,-,-
Away,Enrique Gudino De Grote,Shot Right OpenPlay Goal,5,42,84,77,-,-
