Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,H1,Shot Left OpenPlay Goal,5,42,95,40,-,-
Home,H1,Shot Right OpenPlay Miss,5,42,90,38,-,-
Home,H1,Shot Left OpenPlay Goal,5,42,92,65,-,-
Home,H1,Shot Right Freekick Miss,5,42,80,25,-,-
Home,H1,Shot Right Freekick Miss,5,42,75,32,-,-
Home,H1,Shot Right OpenPlay Miss,5,42,93,69,-,-
Home,H1,Shot Left OpenPlay Miss,5,42,80,61,-,-
Home,H1,Shot Right OpenPlay Goal,5,42,95,44,-,-
Home,H1,Shot Left OpenPlay Miss,5,42,90,34,-,-
Home,H1,Shot Right OpenPlay Miss,5,42,74,59,-,-
Home,H1,Shot Left OpenPlay Miss,5,42,90,50,-,-
Home,H1,Shot Left OpenPlay Miss,5,42,73,31,-,-
Home,H1,Shot Left OpenPlay Miss,5,42,87,38,-,-
