Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Gavin Johnson,Shot Right OpenPlay Miss,3,47,91,27,-,-
Home,Tapiwa F. Machingauta,Shot Right Corner Miss,4,55,87,59,-,-
Home,Shamik Patel,Shot Right OpenPlay Miss,6,0,74,11,-,-
Home,Brennan Wu,Shot Right Corner Miss,7,37,86,49,-,-
Home,Brennan Wu,Shot Right OpenPlay Miss,8,46,96,52,-,-
Home,Andrii Pityliak,Shot Right OpenPlay Miss,10,7,88,40,-,-
Home,Brennan Wu,Shot Right OpenPlay Miss,11,10,84,28,-,-
Home,Brennan Wu,Shot Right OpenPlay Goal,12,36,91,59,-,-
Home,Gavin Johnson,Shot Head OpenPlay Miss,13,22,95,56,-,-
Home,Tapiwa F. Machingauta,Shot Right OpenPlay Miss,14,6,82,51,-,-
Home,Gavin Johnson,Shot Right ThrowIn Miss,15,5,79,26,-,-
Home,Andrii Pityliak,Shot Right OpenPlay Miss,16,0,76,40,-,-
Home,Enrique Gudino De Grote,Shot Left OpenPlay Miss,17,17,84,70,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,18,52,87,56,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,19,39,88,64,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,20,30,91,29,-,-
