Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,Jacob Sullivan Golda,Shot Right OpenPlay Miss,82,36,77,38,-,-
Away,Enrique Gudino De Grote,Shot Left OpenPlay Miss,82,36,91,40,-,-
Away,Gavin Johnson,Shot Right OpenPlay Goal,82,36,91,60,-,-
Away,Gavin Johnson,Shot Left OpenPlay Miss,82,36,87,40,-,-
Away,Brennan Wu,Shot Right OpenPlay Goal,83,2,95,49,-,-
Away,Gavin Johnson,Shot Right OpenPlay Goal,83,34,91,63,-,-
Away,Brennan Wu,Shot Right OpenPlay Goal,84,54,89,41,-,-
Away,MacKenzie Bechard,Shot Left OpenPlay Miss,86,8,78,65,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,87,9,90,68,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,88,6,88,64,-,-
Away,MacKenzie Bechard,Shot Head OpenPlay Miss,90,19,99,61,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,90,54,91,54,-,-
Away,Andrii Pityliak,Shot Right OpenPlay Miss,92,16,75,63,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,93,32,89,44,-,-
Away,Andrii Pityliak,Shot Right OpenPlay Miss,94,55,85,48,-,-
Away,Ryan Olans,Shot Left OpenPlay Miss,97,7,89,32,-,-
Away,Gavin Johnson,Shot Head OpenPlay Miss,99,11,93,56,-,-
Away,Andrii Pityliak,Shot Left OpenPlay Miss,100,17,91,34,-,-
Away,Peter Beasley,Shot Head OpenPlay Miss,100,59,94,44,-,-
Away,Landon Johnson,Shot Left Freekick Miss,102,13,73,61,-,-
Away,Gavin Johnson,Shot Right Freekick Miss,103,13,78,38,-,-
Away,Gavin Johnson,Shot Right Penalty Miss,105,20,89,50,-,-
