Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,4,Shot Right OpenPlay Miss,43,21,76,34,-,-
Away,3,Shot Left OpenPlay Miss,43,21,84,39,-,-
Away,3,Shot Left OpenPlay Miss,43,21,94,35,-,-
Away,3,Shot Right OpenPlay Miss,43,21,83,21,-,-
Away,3,Shot Right Corner Miss,43,21,91,54,-,-
Away,3,Shot Right OpenPlay Miss,43,21,86,57,-,-
Away,3,Shot Right OpenPlay Goal,43,21,91,63,-,-
Away,3,Shot Right OpenPlay Goal,43,21,88,28,-,-
Away,3,Shot Right Freekick Miss,43,21,63,48,-,-
Away,3,Shot Right ThrowIn Miss,44,46,77,41,-,-
Away,3,Shot Head Corner Miss,46,39,96,59,-,-
Away,3,Shot Right OpenPlay Miss,48,7,90,58,-,-
Away,3,Shot Right OpenPlay Miss,48,48,62,40,-,-
Away,3,Shot Right OpenPlay Miss,49,41,79,63,-,-
Away,3,Shot Left OpenPlay Miss,51,20,91,56,-,-
Away,3,Shot Right OpenPlay Miss,52,49,93,21,-,-
Away,3,Shot Right OpenPlay Miss,54,0,86,67,-,-
Away,3,Shot Right OpenPlay Miss,54,37,79,36,-,-
Away,3,Shot Left OpenPlay Miss,55,56,79,59,-,-
Away,3,Shot Left OpenPlay Miss,56,56,80,36,-,-
Away,3,Shot Right OpenPlay Miss,57,26,90,50,-,-
Away,3,Shot Right OpenPlay Miss,57,56,86,72,-,-
