Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,A5,Shot Head Corner Miss,46,45,95,43,-,-
Away,A5,Shot Right OpenPlay Miss,46,45,76,33,-,-
Away,A5,Shot Left OpenPlay Miss,46,45,78,33,-,-
Away,A5,Shot Left Freekick Miss,45,56,77,32,-,-
Away,A5,Shot Right OpenPlay Miss,46,56,71,61,-,-
Away,A5,Shot Right OpenPlay Miss,47,41,96,64,-,-
Away,A5,Shot Right OpenPlay Miss,48,18,75,61,-,-
Away,A5,Shot Right OpenPlay Miss,49,0,88,28,-,-
Away,A5,Shot Right OpenPlay Miss,49,42,92,56,-,-
Away,A5,Shot Left OpenPlay Miss,50,28,81,70,-,-
Away,A5,Shot Left Freekick Miss,50,52,83,62,-,-
Away,A5,Shot Right Corner Miss,51,19,70,59,-,-
Away,A5,Shot Right OpenPlay Miss,51,19,93,67,-,-
Away,A5,Shot Right OpenPlay Miss,51,19,96,61,-,-
Away,A5,Shot Right OpenPlay Miss,51,19,73,58,-,-
Away,A5,Shot Left OpenPlay Miss,51,19,95,39,-,-
Away,A5,Shot Right OpenPlay Miss,51,19,86,73,-,-
Away,A5,Shot Right Freekick Miss,51,28,73,53,-,-
Away,A5,Shot Right Freekick Miss,51,45,83,35,-,-
Away,A5,Shot Right OpenPlay Miss,52,17,82,31,-,-
Away,A5,Shot Left OpenPlay Miss,52,56,88,52,-,-
Away,A5,Shot Right OpenPlay Miss,53,25,53,53,-,-
Away,A5,Shot Right OpenPlay Goal,54,24,91,39,-,-
Away,A5,Shot Right OpenPlay Miss,54,47,87,82,-,-
