Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Gerardo Espinoza,Shot Right OpenPlay Miss,42,35,76,48,-,-
Home,Gerardo Espinoza,Shot Left OpenPlay Miss,42,35,90,35,-,-
Home,Gavin Johnson,Shot Head OpenPlay Goal,42,35,95,40,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,42,35,89,65,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,42,35,94,56,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,42,35,93,11,-,-
Home,Jamie R. Beamish,Shot Head Corner Miss,41,15,92,39,-,-
Home,Andrii Pityliak,Shot Right OpenPlay Miss,43,23,91,67,-,-
Home,Enrique Gudino De Grote,Shot Right Penalty Goal,43,45,89,50,-,-
Home,Peter Horner,Shot Right OpenPlay Goal,44,59,95,56,-,-
Home,Gerardo Espinoza,Shot Right Corner Miss,45,30,78,50,-,-
Home,Jamie R. Beamish,Shot Right OpenPlay Miss,45,30,90,65,-,-
Home,Gavin Johnson,Shot Right OpenPlay Miss,45,30,92,51,-,-
Home,Moritz Seban,Shot Left OpenPlay Goal,45,30,89,64,-,-
Home,Gavin Johnson,Shot Right OpenPlay Goal,45,30,89,58,-,-
Home,Brennan Wu,Shot Right OpenPlay Miss,45,30,83,31,-,-
Home,Gavin Johnson,Shot Right OpenPlay Goal,45,30,87,39,-,-
