Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,Jamie R. Beamish,Shot Right OpenPlay Miss,0,5,86,63,-,-
Away,Andres Castellanos,Shot Head Corner Miss,0,5,96,59,-,-
Away,Jamie R. Beamish,Shot Left OpenPlay Miss,0,5,89,65,-,-
Away,Gavin Johnson,Shot Right OpenPlay Goal,0,5,92,59,-,-
Away,Ryan Olans,Shot Left Freekick Miss,0,5,80,69,-,-
Away,Ryan Olans,Shot Left OpenPlay Miss,0,5,78,61,-,-
Away,Enrique Gudino De Grote,Shot Right ThrowIn Miss,0,5,86,38,-,-
Away,Jamie R. Beamish,Shot Left ThrowIn Miss,0,5,85,66,-,-
Away,Enrique Gudino De Grote,Shot Right OpenPlay Miss,0,5,85,27,-,-
Away,Peter Beasley,Shot Right Corner Miss,0,5,95,38,-,-
Away,Peter Horner,Shot Right OpenPlay Miss,0,5,90,33,-,-
Away,Gerardo Espinoza,Shot Right Freekick Miss,0,5,78,17,-,-
Away,Gerardo Espinoza,Shot Right Corner Miss,0,5,91,42,-,-
Away,Jamie R. Beamish,Shot Right OpenPlay Miss,0,5,80,68,-,-
Away,Andrii Pityliak,Shot Right OpenPlay Miss,0,5,90,68,-,-
Away,Brennan Wu,Shot Right OpenPlay Miss,0,5,87,34,-,-
Away,Tapiwa F. Machingauta,Shot Right OpenPlay Miss,0,5,70,52,-,-
Away,Peter Horner,Shot Right Corner Miss,0,5,96,60,-,-
Away,Andrii Pityliak,Shot Right OpenPlay Miss,0,5,85,48,-,-
