Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,Ian M. Murray,Shot Right OpenPlay Miss,0,0,92,66,-,-
Away,Rom Brown,Shot Right OpenPlay Miss,0,0,91,49,-,-
Away,Shamik Patel,Shot Right OpenPlay Miss,0,0,75,35,-,-
Away,Rom Brown,Shot Right OpenPlay Miss,0,0,78,50,-,-
Away,Rom Brown,Shot Right OpenPlay Miss,0,0,95,49,-,-
Away,Landon Johnson,Shot Right OpenPlay Miss,0,0,85,40,-,-
Away,Tapiwa F. Machingauta,Shot Right OpenPlay Miss,0,0,96,64,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,0,0,85,65,-,-
Away,Gavin Johnson,Shot Right Corner Miss,0,0,92,50,-,-
Away,Gavin Johnson,Shot Right OpenPlay Miss,0,0,90,65,-,-
Away,Gavin Johnson,Shot Right ThrowIn Miss,0,0,80,34,-,-
Away,Gavin Johnson,Shot Left OpenPlay Miss,0,0,86,32,-,-
